"","name","decade","HEPATITIS","MEASLES","MUMPS","PERTUSSIS","POLIO","RUBELLA","SMALLPOX","Longitude","Latitude"
"60","COLORADO",2010,0.0102970297029703,0,0,0.205145631067961,0,0,0,-105.547804558941,38.9990478153267
"61","CONNECTICUT",1920,0,12.1336893203883,0,0,0.05625,0,0.12504854368932,-72.7275052925842,41.6224141911498
"62","CONNECTICUT",1930,0,10.14509765625,0,4.40679611650485,0.230444874274662,0,0.026042471042471,-72.7275052925842,41.6224141911498
"63","CONNECTICUT",1940,0,9.94265432098765,0,2.55421359223301,0.162546296296296,0,0,-72.7275052925842,41.6224141911498
"64","CONNECTICUT",1950,0,9.90353658536585,0,1.27895973154362,0,0,0,-72.7275052925842,41.6224141911498
"65","CONNECTICUT",1960,0.333883495145631,4.30130434782609,2.59633663366337,0,0,1.46069306930693,0,-72.7275052925842,41.6224141911498
"66","CONNECTICUT",1970,0.336053169734151,0.443522012578616,0.7544921875,0.0424074074074074,0,0.256693386773547,0,-72.7275052925842,41.6224141911498
"67","CONNECTICUT",1980,0.111906158357771,0.0282183908045977,0.0195047169811321,0.0154263565891473,0,0.00752631578947368,0,-72.7275052925842,41.6224141911498
"68","CONNECTICUT",1990,0.0649704142011834,0.0238111888111888,0.00540816326530612,0.0251179245283019,0,0.00690376569037657,0,-72.7275052925842,41.6224141911498
"69","CONNECTICUT",2000,0.0471739130434783,0,0.00136363636363636,0.025982905982906,0,0.00075,0,-72.7275052925842,41.6224141911498
"70","CONNECTICUT",2010,0.0120618556701031,0,0,0.0577941176470588,0,0,0,-72.7275052925842,41.6224141911498
"71","DELAWARE",1920,0,6.27645569620253,0,0,0.0537864077669903,0,0.0168316831683168,-75.50657647775,39.0095543670114
"72","DELAWARE",1930,0,11.1628140703518,0,5.0221359223301,0.0478100775193798,0,0.000773694390715667,-75.50657647775,39.0095543670114
"73","DELAWARE",1940,0,6.63788418708241,0,1.59223655913978,0.339600938967136,0,0,-75.50657647775,39.0095543670114
"74","DELAWARE",1950,0,4.16753588516746,0,1.05323529411765,0,0,0,-75.50657647775,39.0095543670114
"75","DELAWARE",1960,0.575294117647059,2.84069868995633,0.949882352941177,0,0,0.773304347826087,0,-75.50657647775,39.0095543670114
"76","DELAWARE",1970,0.427324414715719,0.21554565701559,0.544209486166008,0.34,0,0.116492374727669,0,-75.50657647775,39.0095543670114
"77","DELAWARE",1980,0.266628352490421,0.0661702127659574,0.0399352750809061,0.108009950248756,0,0.00761904761904762,0,-75.50657647775,39.0095543670114
"78","DELAWARE",1990,0.0870245398773006,0.0224774774774775,0.0264788732394366,0.0356643356643357,0,0.00777777777777778,0,-75.50657647775,39.0095543670114
"79","DELAWARE",2000,0.0207619047619048,0,0,0.0269487179487179,0,0.00590909090909091,0,-75.50657647775,39.0095543670114
"80","DELAWARE",2010,0.00916666666666667,0,0,0.0414285714285714,0,0,0,-75.50657647775,39.0095543670114
"81","DISTRICT.OF.COLUMBIA",1920,0,8.07474358974359,0,0,0.0879569892473118,0,0.0228260869565217,-77.015380379617,38.908639919026
"82","DISTRICT.OF.COLUMBIA",1930,0,7.87604210526316,0,3.09281553398058,0.0947582205029013,0,0.00233590733590734,-77.015380379617,38.908639919026
"83","DISTRICT.OF.COLUMBIA",1940,0,5.26225263157895,0,1.34137931034483,0.167308584686775,0,0,-77.015380379617,38.908639919026
"84","DISTRICT.OF.COLUMBIA",1950,0,3.90702702702703,0,0.466162790697674,0,0,0,-77.015380379617,38.908639919026
"85","DISTRICT.OF.COLUMBIA",1960,0.223813559322034,1.07898058252427,0.744385964912281,0,0,0.431864406779661,0,-77.015380379617,38.908639919026
"86","DISTRICT.OF.COLUMBIA",1970,0.322384341637011,0.162344213649852,0.241066945606695,0.15,0,0.0388253012048193,0,-77.015380379617,38.908639919026
"87","DISTRICT.OF.COLUMBIA",1980,0.187317073170732,0.0905109489051095,0.354769230769231,0.0209259259259259,0,0.005,0,-77.015380379617,38.908639919026
"88","DISTRICT.OF.COLUMBIA",1990,0.13528901734104,0.0493181818181818,0.0555288461538462,0.0319471947194719,0,0.00656050955414013,0,-77.015380379617,38.908639919026
"89","DISTRICT.OF.COLUMBIA",2000,0.115395894428152,0,0,0.0203582089552239,0,0,0,-77.015380379617,38.908639919026
"90","DISTRICT.OF.COLUMBIA",2010,0,0,0,0.0295402298850575,0,0,0,-77.015380379617,38.908639919026
"91","FLORIDA",1920,0,2.14771739130435,0,0,0.037378640776699,0,0.133762376237624,-82.4882747607466,28.6595173757703
"92","FLORIDA",1930,0,4.34502183406114,0,1.05128712871287,0.0307543520309478,0,0.0172393822393822,-82.4882747607466,28.6595173757703
"93","FLORIDA",1940,0,3.17652806652807,0,0.726153846153846,0.145023041474654,0,0.00131336405529954,-82.4882747607466,28.6595173757703
"94","FLORIDA",1950,0,2.60413361169102,0,0.365724137931034,0,0,0,-82.4882747607466,28.6595173757703
"95","FLORIDA",1960,0.289655172413793,1.27800399201597,0.59019801980198,0,0,0.484051282051282,0,-82.4882747607466,28.6595173757703
"96","FLORIDA",1970,0.510526315789474,0.206234817813765,0.339862204724409,0.0296774193548387,0,0.236492985971944,0,-82.4882747607466,28.6595173757703
"97","FLORIDA",1980,0.177398568019093,0.0423462414578588,0.0144930875576037,0.0132587064676617,0,0.00838565022421525,0,-82.4882747607466,28.6595173757703
"98","FLORIDA",1990,0.0935714285714286,0.0150769230769231,0.0162340425531915,0.0156167400881057,0,0.00191135734072022,0,-82.4882747607466,28.6595173757703
"99","FLORIDA",2000,0.050440251572327,0.000447761194029851,0.00227722772277228,0.0226923076923077,0,0.000779220779220779,0,-82.4882747607466,28.6595173757703
"100","FLORIDA",2010,0.0146078431372549,0,0,0.0347115384615385,0,0,0,-82.4882747607466,28.6595173757703
"101","GEORGIA",1920,0,2.10905263157895,0,0,0.0113725490196078,0,0.0241,-83.4605747984169,32.6563861163626
"102","GEORGIA",1930,0,5.19243670886076,0,1.09097087378641,0.0300193423597679,0,0.0146138996138996,-83.4605747984169,32.6563861163626
