"row_name","zip","state","city","lat","lng","cs"
"SPOKANE.WA",99201,"WA","Spokane",47.666485,-117.436527,"Spokane WA"
"TACOMA.WA",98402,"WA","Tacoma",47.254508,-122.440536,"Tacoma WA"
"CHARLESTON.WV",25301,"WV","Charleston",38.349,-81.630606,"Charleston WV"
"HUNTINGTON.WV",25701,"WV","Huntington",38.409726,-82.442348,"Huntington WV"
"WHEELING.WV",60090,"IL","Wheeling",42.13404,-87.934097,"Wheeling IL"
"KENOSHA.WI",53140,"WI","Kenosha",42.605228,-87.829945,"Kenosha WI"
"MADISON.WI",53703,"WI","Madison",43.077535,-89.383068,"Madison WI"
"MILWAUKEE.WI",53202,"WI","Milwaukee",43.050601,-87.896792,"Milwaukee WI"
"RACINE.WI",53402,"WI","Racine",42.772596,-87.795985,"Racine WI"
"SUPERIOR.WI",54880,"WI","Superior",46.701552,-92.091174,"Superior WI"
